City	Einwohnerzahl	Area_km2
Berlin	3669491	891.68
Hamburg	1847253	755.22
München	1484226	310.70
Köln	1087863	405.02
Frankfurt am Main	76338	248.31
Stuttgart	635911	207.35
Düsseldorf	621877	217.41
Leipzig	593145	297.80
Dortmund	58825	280.71
Essen	58276	210.34
Bremen	567559	325.56
Dresden	55678	328.48
Hannover	536925	204.14
Nürnberg	51837	186.38
Duisburg	498686	232.80
Bochum	365587	145.66
Wuppertal	3551	168.39
Bielefeld	334195	258.82
Bonn	329673	141.06
Münster	315293	303.28
Karlsruhe	31206	173.46
Mannheim	310658	144.96
Augsburg	296582	146.84
Wiesbaden	278474	203.93
Mönchengladbach	261034	170.47
Gelsenkirchen	259645	104.94
Braunschweig	249406	192.18
Aachen	24896	160.85
Kiel	246794	118.65
Chemnitz	246334	221.05
Halle (Saale)	238762	135.02
Magdeburg	237565	201.00
Freiburg im Breisgau	231195	153.06
Krefeld	227417	137.77
Mainz	218578	97.74
Lübeck	21653	214.21
Erfurt	213981	269.88
Oberhausen	210764	77.09
Rostock	209191	181.26
Kassel	202137	106.78
Hagen	188686	160.45
Saarbrücken	180374	167.09
Potsdam	180334	188.61
Hamm	179916	226.43
Ludwigshafen am Rhein	172253	77.55
Mülheim an der Ruhr	170632	91.28
Oldenburg (Oldb)	169077	102.99
Osnabrück	165251	119.80
Leverkusen	163729	78.87
Heidelberg	161485	108.84
Darmstadt	159878	122.09
Solingen	159245	89.54
Herne	156449	51.42
Neuss	153896	99.52
Regensburg	153094	80.70
Paderborn	151633	179.59
Ingolstadt	137392	133.37
Offenbach am Main	13028	44.89
Fürth	128497	63.35
Würzburg	127934	87.63
Ulm	12679	118.69
Heilbronn	126592	99.88
Pforzheim	125957	98.00
Wolfsburg	124371	204.09
Göttingen	118911	116.89
Bottrop	117565	100.61
Reutlingen	115865	87.06
Koblenz	114052	105.13
Bremer­haven	113643	93.82
Erlangen	112528	76.95
Bergisch Gladbach	111846	83.09
Trier	111528	117.13
Recklinghausen	111397	66.50
Jena	111343	114.76
Remscheid	111338	74.52
Moers	103902	67.68
Siegen	10277	114.69
Hildesheim	101693	92.18
Gütersloh	100861	112.02
Kaiserslautern	10003	139.74
